--- scanner 0 ---
666,802,-675
-424,871,-557
-189,-18,-36
-461,845,-513
-879,573,497
691,-331,736
633,-540,-558
-548,759,-553
562,-542,-504
-866,-533,-439
-822,572,318
-849,-613,-550
-846,-788,847
602,-350,791
3,77,51
530,-331,781
433,785,439
-881,-566,-507
-866,-800,792
765,837,-607
474,752,490
-872,-759,819
409,618,496
556,825,-679
-865,488,433
481,-529,-672

--- scanner 1 ---
567,-437,763
-636,784,729
-559,-534,-642
-494,738,669
807,883,820
639,-641,766
-485,814,765
653,-464,739
60,117,15
464,-686,-839
-748,-501,838
745,361,-938
-437,-652,-624
829,390,-914
434,-766,-725
456,-592,-644
744,475,-850
-575,854,-527
984,825,821
-467,-592,-513
911,952,803
-693,-494,720
-700,-557,787
-617,831,-419
-573,906,-371

--- scanner 2 ---
-626,485,842
572,-545,-321
590,409,-785
-116,41,161
-711,-522,487
7,-15,1
522,508,-750
-769,-812,-632
-717,536,-641
658,-639,-425
693,612,594
-707,-620,512
774,-533,487
518,618,-773
-597,517,729
807,-343,532
-649,-437,523
-872,-649,-609
-757,596,-539
-600,524,-607
492,-661,-390
-827,-665,-674
-545,458,675
707,-329,490
525,693,581
639,541,592

--- scanner 3 ---
428,462,-629
-818,-496,-647
-931,-541,430
611,459,538
592,458,-696
429,449,620
466,329,536
-364,602,756
478,438,-679
-44,-42,104
-819,870,-602
679,-510,-668
658,-447,-737
354,-484,751
-839,-642,-726
-764,814,-528
666,-458,-817
-948,-626,523
-797,-526,509
-925,-646,-632
-563,566,781
-137,94,22
-650,921,-543
265,-446,822
-440,576,921
360,-471,758

--- scanner 4 ---
562,590,-705
-666,661,802
-848,-369,-614
-721,-433,-717
-439,-743,665
-698,764,-819
-491,606,859
-526,-665,641
541,483,-807
371,506,674
-803,-262,-733
420,359,735
-583,523,818
489,-801,437
570,-800,595
-477,-738,581
531,-565,-599
427,-809,580
776,-593,-586
475,472,665
-50,69,54
-705,782,-824
495,459,-772
-773,687,-731
720,-588,-627

--- scanner 5 ---
-953,-652,342
708,-736,-552
-868,-567,406
404,766,481
312,893,405
-552,805,-660
345,572,-745
475,-567,727
-982,-568,318
479,828,431
3,177,55
-543,679,-782
-621,-695,-563
432,-465,628
509,-419,709
382,560,-745
697,-749,-695
370,544,-789
-737,-758,-534
-693,-675,-456
-504,746,-795
-512,794,837
-489,752,729
771,-747,-661
-152,3,71
-437,750,885

--- scanner 6 ---
882,646,762
879,850,695
-283,545,-609
846,742,-661
-388,-324,635
-310,722,-623
-286,749,-537
-211,685,778
860,-520,651
-350,-353,-773
66,-25,29
95,143,-115
-373,-321,547
706,-429,-584
